Name;Group;Indication
pemetrexed;Antineoplastic agents;Malignant pleural mesothelioma Pemetrexed in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma. Non-small cell lung cancer Pemetrexed in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. Pemetrexed is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. Pemetrexed is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.
pemetrexed;Antineoplastic agents;Malignant pleural mesothelioma Alimta in combination with cisplatin is indicated for the treatment of chemotherapy-naïve patients with unresectable malignant pleural mesothelioma. Non-small-cell lung cancer Alimta in combination with cisplatin is indicated for the first-line treatment of patients with locally advanced or metastatic non-small-cell lung cancer other than predominantly squamous cell histology. Alimta is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small-cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. Alimta is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small-cell lung cancer other than predominantly squamous cell histology.
safinamide;Anti-Parkinson drugs;Xadago is indicated for the treatment of adult patients with idiopathic Parkinson’s disease (PD) as add-on therapy to a stable dose of Levodopa (L-dopa) alone or in combination with other PD medicinal products in mid-to late-stage fluctuating patients.
"tezacaftor;ivacaftor";Other respiratory system products;Symkevi is indicated in a combination regimen with ivacaftor tablets for the treatment of patients with cystic fibrosis (CF) aged 6 years and older who are homozygous for the F508del mutation or who are heterozygous for the F508del mutation and have one of the following mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene: P67L, R117C, L206W, R352Q, A455E, D579G, 711+3A?G, S945L, S977F, R1070W, D1152H, 2789+5G?A, 3272 26A?G, and 3849+10kbC?T.
dexamethasone;Corticosteroids for systemic use;Treatment of multiple myeloma.
"macitentan;tadalafil";Antihypertensives;Yuvanci is indicated as substitution therapy for the long-term treatment of pulmonary arterial hypertension (PAH) in adult patients of WHO Functional Class (FC) II to III, who are already treated with the combination of macitentan and tadalafil given concurrently as separate tablets.
zoledronic acid;Drugs for treatment of bone diseases;"Prevention of skeletal related events (pathological fractures, spinal compression, radiation or surgery to bone, or tumour-induced hypercalcaemia) in adult patients with advanced malignancies involving bone; treatment of adult patients with tumour-induced hypercalcaemia (TIH)."
ioflupane (123l);Diagnostic radiopharmaceuticals;This medicinal product is for diagnostic use only. Striascan is indicated for detecting loss of functional dopaminergic neuron terminals in the striatum:  In adult patients with clinically uncertain parkinsonian syndromes, for example those with early symptoms, in order to help differentiate essential tremor from parkinsonian syndromes related to idiopathic Parkinson’s disease, multiple system atrophy and progressive supranuclear palsy. Striascan is unable to discriminate between Parkinson's disease, multiple system atrophy and progressive supranuclear palsy. In adult patients, to help differentiate probable dementia with Lewy bodies from Alzheimer’s disease. Striascan is unable to discriminate between dementia with Lewy bodies and Parkinson’s disease dementia.
pemetrexed;Antineoplastic agents;Malignant pleural mesothelioma Pemetrexed Fresenius Kabi in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma. Non-small cell lung cancer Pemetrexed Fresenius Kabi in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. Pemetrexed Fresenius Kabi is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. Pemetrexed Fresenius Kabi is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.
pemetrexed;Antineoplastic agents;Malignant pleural mesothelioma Pemetrexed Accord in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma. Non-small cell lung cancer Pemetrexed Accord in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. Pemetrexed Accord is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. Pemetrexed Accord is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.
fidaxomicin;Antidiarrheals, intestinal antiinflammatory / antiinfective agents;"Dificlir film-coated tablets is indicated for the treatment of Clostridioides difficile infections (CDI) also known as C. difficile-associated diarrhoea (CDAD) in adult and paediatric patients with a body weight of at least 12.5 kg. Consideration should be given to official guidelines on the appropriate use of antibacterial agents. Dificlir granules for oral suspension is indicated for the treatment of Clostridioides  difficile infections (CDI) also known as C. difficile-associated diarrhoea (CDAD) in adults and paediatric patients from birth to &lt; 18 years of age. Consideration should be given to official guidelines on the appropriate use of antibacterial agents."
raloxifene;Sex hormones and modulators of the genital system;Optruma is indicated for the treatment and prevention of osteoporosis in post-menopausal women. A significant reduction in the incidence of vertebral, but not hip fractures has been demonstrated. When determining the choice of Optruma or other therapies, including oestrogens, for an individual postmenopausal woman, consideration should be given to menopausal symptoms, effects on uterine and breast tissues, and cardiovascular risks and benefits (see section 5.1).
angiotensin II;Agents acting on the renin-angiotensin system;Giapreza is indicated for the treatment of refractory hypotension in adults with septic or other distributive shock who remain hypotensive despite adequate volume restitution and application of catecholamines and other available vasopressor therapies.
